Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,5224.9171551019,5971.79891618115,13521.6673337853,11768.4683020011,12093.268365202,12253.8665418455,12663.4893469133,19093.0164927725,20924.2120140903,17408.518221919,14312.4585576751,13233.8396647489,13132.7651074905,12356.8786562447,9771.14127095253,11535.1745416105,10169.0408432349,11617.1064634361,8794.60604566196,5419.58816274641,..,..,..,16932.0850381744,19358.3705358918,17748.8494222622,14166.1641311094,15435.1311342496,18440.3785212446,16587.2486486214,17846.3761640299,22148.378150112,27011.6539985998,35591.0371337921,42781.5647521665,45782.1485715013,55494.9300965412,37561.7259257377,38577.4982788212,48631.7834045849,51979.1206895335,49388.0533799687,44062.3409134598,29869.552753237,27653.1576200281,29759.4674745278,33399.060475851,32373.2511149607,24811.7697100231,..
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,4451200972.9401,5408293998.65138,13004774556.6166,12024138275.8621,13131668946.6484,14135729588.2763,15500908760.4507,24746019536.903,28638550499.4451,25056672166.4275,21577977770.059,20869434305.3173,21697297872.3404,21442619680.8511,17903681693.0489,22365734481.5213,20692472759.8566,24312117767.1886,18427777777.7778,11008793176.2223,19858555214.7239,23941391390.7285,24848483838.3838,27191353887.3995,31493319973.2799,30355093966.3699,25939960629.9213,30123850197.1091,37712842242.5033,34887512226.9319,38137545245.1464,47876510067.1141,59439090600.6108,80798630136.9863,101548931771.192,114639690358.902,147395089285.714,105963168867.269,115419399860.433,154068115942.029,174070382279.385,174161142454.161,162631412508.784,114567298105.683,109419728566.7,120707435542.367,138182400493.585,136196760180.976,105960225688.145,..
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.8354146341464,61.0929024390244,61.3329024390244,61.5648536585366,61.797243902439,62.0400731707317,62.3009024390244,62.585756097561,62.9037804878049,63.2636341463415,63.6588780487805,64.077512195122,64.5049268292683,64.9189512195122,65.2937804878049,65.6111951219512,65.8585853658537,67.9073170731707,68.2975609756098,68.5512195121951,68.1024390243903,67.1926829268293,66.0390243902439,65.790243902439,66.5439024390244,66.8926829268293,67.0512195121951,68.6560975609756,68.5585365853659,68.7073170731707,68.1560975609756,68.2560975609756,68.1536585365854,67.9560975609756,67.6951219512195,67.8951219512195,68.4512195121951,69.1024390243903,69.3,69.6024390243903,70.0024390243902,70.2024390243902,70.4024390243902,70.6512195121951,70.9512195121951,71.2,71.4,71.6,71.8,..
Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22760,20420,13800,10110,6550,4600,5770,5690,6040,4790,4670,3970,4969.99979019165,5590.00015258789,5559.99994277954,5300.00019073486,5320.00017166138,6469.99979019165,7510.00022888184,6760.00022888184,6349.99990463257,7619.99988555908,10060.0004196167,9380.00011444092,9710.00003814697,10270.0004577637,9699.99980926514,9430.00030517578,11250,10050.0001907349,..,..
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,3088200,3153800,3223900,3292400,3358700,3423900,3487100,3552000,3617400,3685800,3759300,3838300,3916400,3990300,4066500,4144600,4218400,4307500,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6694200
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,609.172891237019,575.643974470034,513.035943659476,449.065790188734,372.307810016831,364.226497350785,394.860121460514,376.4296132611,345.138131648451,258.049228785755,279.619569260939,308.409611591149,321.727033227846,380.506432394744,433.234976590867,476.552129968975,543.110702403072,721.768690838857,966.393627185372,871.224389337854,880.037775119109,1123.8831680627,1177.97473487848,1282.43716202467,1279.76978265986,1121.08283510739,1120.66651300848,1242.76964282023,1308.14016549619,1374.03210467421,1182.52170043018,1276.24264327528
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2675000000,2569444444.44444,2316562500,2028295454.54545,1681006993.00699,1661018518.51852,1827570586.16784,1767864035.71943,1645963749.83146,1249061487.01457,1369688498.06778,1525116370.27939,1605643104.73021,1919008090.49641,2211534585.0034,2460248026.17783,2834168889.42019,3802566170.81543,5139957784.91084,4690062255.12247,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7702934800.12836,8271108638.39931,8871026074.19762,7780874536.66054,8543423502.6134
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.876,47.166,47.449,47.722,47.985,48.244,48.503,48.771,49.061,49.386,49.753,50.162,50.61,51.084,51.566,52.04,52.497,52.935,53.364,53.799,54.258,54.753,55.285,55.851,56.44,57.04,57.637,58.225,58.803,59.372,59.937,60.502,61.065,61.625,62.182,62.731,63.271,63.797,64.306,64.797,65.267,65.717,66.144,66.546,66.924,67.277,67.61,67.923,68.219,..
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,510,550,600,610,640,670,780,830,850,880,900,1000,1110.00001430511,1149.99997615814,1210.00003814697,1259.99999046326,1639.99998569489,1730.00001907349,2049.99995231628,2539.99996185303,2880.00011444092,3039.99996185303,3269.99998092651,4159.99984741211,4340.00015258789,8880.00011444092,15699.9998092651,19049.9992370605,19360.0006103516,18709.9990844727,..,..
Lao PDR,LAO,"Population, total",SP.POP.TOTL,2840842,2919288,2990963,3051583,3098962,3135839,3168838,3207331,3258149,3323353,3401193,3489910,3586315,3687889,3794204,3905530,4020817,4138845,4258471,4379234,4500346,4619946,4735837,4846477,4951189,5050308,5144601,5235339,5323701,5409584,5493247,5576640,5662199,5751675,5846075,5944950,6046630,6148621,6249168,6347564,6444527,6541302,6639763,6741160,6845848,6953031,7061498,7169456,7275556,7379358
